home,away,home_mov,home_location,away_location
Toronto Raptors,New York Knicks,36,"[-79.3831843 43.653226, 0]","[-74.0059728 40.7127753, 0]"
Washington Wizards,Utah Jazz,-21,"[-77.0368707 38.9071923, 0]","[-111.0937311 39.3209801, 0]"
Atlanta Hawks,Houston Rockets,-16,"[-84.3879824 33.7489954, 0]","[-95.3698028 29.7604267, 0]"
Charlotte Hornets,Philadelphia 76ers,-4,"[-80.8431267 35.2270869, 0]","[-75.1652215 39.9525839, 0]"
Los Angeles Clippers,Indiana Pacers,6,"[-118.2436849 34.0522342, 0]","[-86.1349019 40.2671941, 0]"
Milwaukee Bucks,Los Angeles Lakers,14,"[-87.9064736 43.0389025, 0]","[-118.2436849 34.0522342, 0]"
Minnesota Timberwolves,Golden State Warriors,-10,"[-94.6858998 46.729553, 0]","[-122.4194155 37.7749295, 0]"
Sacramento Kings,Brooklyn Nets,-2,"[-121.4943996 38.5815719, 0]","[-73.9441579 40.6781784, 0]"
Chicago Bulls,Washington Wizards,6,"[-87.6297982 41.8781136, 0]","[-77.0368707 38.9071923, 0]"
Cleveland Cavaliers,Milwaukee Bucks,5,"[-81.6943605 41.49932, 0]","[-87.9064736 43.0389025, 0]"
Memphis Grizzlies,Houston Rockets,1,"[-90.0489801 35.1495343, 0]","[-95.3698028 29.7604267, 0]"
New York Knicks,Utah Jazz,-21,"[-74.0059728 40.7127753, 0]","[-111.0937311 39.3209801, 0]"
Oklahoma City Thunder,Toronto Raptors,-9,"[-97.5164276 35.4675602, 0]","[-79.3831843 43.653226, 0]"
Orlando Magic,New Orleans Pelicans,23,"[-81.3792365 28.5383355, 0]","[-90.0715323 29.9510658, 0]"
Philadelphia 76ers,Boston Celtics,3,"[-75.1652215 39.9525839, 0]","[-71.0588801 42.3600825, 0]"
Portland Trail Blazers,Dallas Mavericks,8,"[-122.6750261 45.5051064, 0]","[-96.7969879 32.7766642, 0]"
San Antonio Spurs,Miami Heat,-5,"[-98.4936282 29.4241219, 0]","[-80.1917902 25.7616798, 0]"
Atlanta Hawks,Utah Jazz,3,"[-84.3879824 33.7489954, 0]","[-111.0937311 39.3209801, 0]"
Charlotte Hornets,Minnesota Timberwolves,7,"[-80.8431267 35.2270869, 0]","[-94.6858998 46.729553, 0]"
Golden State Warriors,Indiana Pacers,23,"[-122.4194155 37.7749295, 0]","[-86.1349019 40.2671941, 0]"
Phoenix Suns,Detroit Pistons,-20,"[-112.0740373 33.4483771, 0]","[-83.0457538 42.331427, 0]"
Sacramento Kings,Dallas Mavericks,16,"[-121.4943996 38.5815719, 0]","[-96.7969879 32.7766642, 0]"
Washington Wizards,Denver Nuggets,-5,"[-77.0368707 38.9071923, 0]","[-104.990251 39.7392358, 0]"
Cleveland Cavaliers,Los Angeles Clippers,-2,"[-81.6943605 41.49932, 0]","[-118.2436849 34.0522342, 0]"
Houston Rockets,San Antonio Spurs,6,"[-95.3698028 29.7604267, 0]","[-98.4936282 29.4241219, 0]"
Los Angeles Lakers,Brooklyn Nets,-5,"[-118.2436849 34.0522342, 0]","[-73.9441579 40.6781784, 0]"
Milwaukee Bucks,Miami Heat,29,"[-87.9064736 43.0389025, 0]","[-80.1917902 25.7616798, 0]"
New York Knicks,Denver Nuggets,-18,"[-74.0059728 40.7127753, 0]","[-104.990251 39.7392358, 0]"
Orlando Magic,Memphis Grizzlies,4,"[-81.3792365 28.5383355, 0]","[-90.0489801 35.1495343, 0]"
Toronto Raptors,Oklahoma City Thunder,-7,"[-79.3831843 43.653226, 0]","[-97.5164276 35.4675602, 0]"
Atlanta Hawks,Philadelphia 76ers,2,"[-84.3879824 33.7489954, 0]","[-75.1652215 39.9525839, 0]"
Chicago Bulls,Utah Jazz,-31,"[-87.6297982 41.8781136, 0]","[-111.0937311 39.3209801, 0]"
Charlotte Hornets,Boston Celtics,7,"[-80.8431267 35.2270869, 0]","[-71.0588801 42.3600825, 0]"
Golden State Warriors,Dallas Mavericks,-35,"[-122.4194155 37.7749295, 0]","[-96.7969879 32.7766642, 0]"
Memphis Grizzlies,Minnesota Timberwolves,-13,"[-90.0489801 35.1495343, 0]","[-94.6858998 46.729553, 0]"
Portland Trail Blazers,Detroit Pistons,5,"[-122.6750261 45.5051064, 0]","[-83.0457538 42.331427, 0]"
Sacramento Kings,Phoenix Suns,9,"[-121.4943996 38.5815719, 0]","[-112.0740373 33.4483771, 0]"
Washington Wizards,Miami Heat,-5,"[-77.0368707 38.9071923, 0]","[-80.1917902 25.7616798, 0]"
Boston Celtics,San Antonio Spurs,-19,"[-71.0588801 42.3600825, 0]","[-98.4936282 29.4241219, 0]"
Golden State Warriors,Detroit Pistons,7,"[-122.4194155 37.7749295, 0]","[-83.0457538 42.331427, 0]"
Indiana Pacers,Denver Nuggets,36,"[-86.1349019 40.2671941, 0]","[-104.990251 39.7392358, 0]"
Los Angeles Lakers,Sacramento Kings,5,"[-118.2436849 34.0522342, 0]","[-121.4943996 38.5815719, 0]"
Milwaukee Bucks,Cleveland Cavaliers,22,"[-87.9064736 43.0389025, 0]","[-81.6943605 41.49932, 0]"
New Orleans Pelicans,Houston Rockets,-23,"[-90.0715323 29.9510658, 0]","[-95.3698028 29.7604267, 0]"
New York Knicks,Los Angeles Clippers,-11,"[-74.0059728 40.7127753, 0]","[-118.2436849 34.0522342, 0]"
Toronto Raptors,Charlotte Hornets,-1,"[-79.3831843 43.653226, 0]","[-80.8431267 35.2270869, 0]"
Memphis Grizzlies,Oklahoma City Thunder,12,"[-90.0489801 35.1495343, 0]","[-97.5164276 35.4675602, 0]"
Orlando Magic,Philadelphia 76ers,21,"[-81.3792365 28.5383355, 0]","[-75.1652215 39.9525839, 0]"
Portland Trail Blazers,Brooklyn Nets,4,"[-122.6750261 45.5051064, 0]","[-73.9441579 40.6781784, 0]"
Utah Jazz,Phoenix Suns,33,"[-111.0937311 39.3209801, 0]","[-112.0740373 33.4483771, 0]"
Charlotte Hornets,San Antonio Spurs,9,"[-80.8431267 35.2270869, 0]","[-98.4936282 29.4241219, 0]"
Cleveland Cavaliers,Boston Celtics,-10,"[-81.6943605 41.49932, 0]","[-71.0588801 42.3600825, 0]"
Dallas Mavericks,Sacramento Kings,-4,"[-96.7969879 32.7766642, 0]","[-121.4943996 38.5815719, 0]"
Denver Nuggets,Detroit Pistons,3,"[-104.990251 39.7392358, 0]","[-83.0457538 42.331427, 0]"
Los Angeles Lakers,Washington Wizards,18,"[-118.2436849 34.0522342, 0]","[-77.0368707 38.9071923, 0]"
Miami Heat,Orlando Magic,-5,"[-80.1917902 25.7616798, 0]","[-81.3792365 28.5383355, 0]"
Milwaukee Bucks,Houston Rockets,14,"[-87.9064736 43.0389025, 0]","[-95.3698028 29.7604267, 0]"
Minnesota Timberwolves,Los Angeles Clippers,-11,"[-94.6858998 46.729553, 0]","[-118.2436849 34.0522342, 0]"
New Orleans Pelicans,Atlanta Hawks,-10,"[-90.0715323 29.9510658, 0]","[-84.3879824 33.7489954, 0]"
Toronto Raptors,Chicago Bulls,9,"[-79.3831843 43.653226, 0]","[-87.6297982 41.8781136, 0]"
Chicago Bulls,Portland Trail Blazers,-20,"[-87.6297982 41.8781136, 0]","[-122.6750261 45.5051064, 0]"
Memphis Grizzlies,Golden State Warriors,-15,"[-90.0489801 35.1495343, 0]","[-122.4194155 37.7749295, 0]"
Oklahoma City Thunder,Indiana Pacers,8,"[-97.5164276 35.4675602, 0]","[-86.1349019 40.2671941, 0]"
Phoenix Suns,Washington Wizards,-3,"[-112.0740373 33.4483771, 0]","[-77.0368707 38.9071923, 0]"
Utah Jazz,Los Angeles Lakers,15,"[-111.0937311 39.3209801, 0]","[-118.2436849 34.0522342, 0]"
Detroit Pistons,Orlando Magic,17,"[-83.0457538 42.331427, 0]","[-81.3792365 28.5383355, 0]"
Houston Rockets,Denver Nuggets,27,"[-95.3698028 29.7604267, 0]","[-104.990251 39.7392358, 0]"
Miami Heat,Dallas Mavericks,6,"[-80.1917902 25.7616798, 0]","[-96.7969879 32.7766642, 0]"
Milwaukee Bucks,Los Angeles Clippers,10,"[-87.9064736 43.0389025, 0]","[-118.2436849 34.0522342, 0]"
New Orleans Pelicans,Sacramento Kings,3,"[-90.0715323 29.9510658, 0]","[-121.4943996 38.5815719, 0]"
New York Knicks,Toronto Raptors,-25,"[-74.0059728 40.7127753, 0]","[-79.3831843 43.653226, 0]"
Philadelphia 76ers,Brooklyn Nets,13,"[-75.1652215 39.9525839, 0]","[-73.9441579 40.6781784, 0]"
San Antonio Spurs,Cleveland Cavaliers,6,"[-98.4936282 29.4241219, 0]","[-81.6943605 41.49932, 0]"
Atlanta Hawks,Portland Trail Blazers,-20,"[-84.3879824 33.7489954, 0]","[-122.6750261 45.5051064, 0]"
Boston Celtics,Indiana Pacers,2,"[-71.0588801 42.3600825, 0]","[-86.1349019 40.2671941, 0]"
Los Angeles Lakers,Charlotte Hornets,14,"[-118.2436849 34.0522342, 0]","[-80.8431267 35.2270869, 0]"
Minnesota Timberwolves,Golden State Warriors,1,"[-94.6858998 46.729553, 0]","[-122.4194155 37.7749295, 0]"
Oklahoma City Thunder,Denver Nuggets,-10,"[-97.5164276 35.4675602, 0]","[-104.990251 39.7392358, 0]"
Utah Jazz,Washington Wizards,4,"[-111.0937311 39.3209801, 0]","[-77.0368707 38.9071923, 0]"
Brooklyn Nets,Boston Celtics,14,"[-73.9441579 40.6781784, 0]","[-71.0588801 42.3600825, 0]"
Chicago Bulls,Toronto Raptors,-23,"[-87.6297982 41.8781136, 0]","[-79.3831843 43.653226, 0]"
Detroit Pistons,Portland Trail Blazers,9,"[-83.0457538 42.331427, 0]","[-122.6750261 45.5051064, 0]"
Houston Rockets,Sacramento Kings,11,"[-95.3698028 29.7604267, 0]","[-121.4943996 38.5815719, 0]"
Indiana Pacers,Orlando Magic,-5,"[-86.1349019 40.2671941, 0]","[-81.3792365 28.5383355, 0]"
Los Angeles Clippers,Cleveland Cavaliers,24,"[-118.2436849 34.0522342, 0]","[-81.6943605 41.49932, 0]"
Minnesota Timberwolves,Philadelphia 76ers,-9,"[-94.6858998 46.729553, 0]","[-75.1652215 39.9525839, 0]"
New York Knicks,Miami Heat,-8,"[-74.0059728 40.7127753, 0]","[-80.1917902 25.7616798, 0]"
Phoenix Suns,Memphis Grizzlies,-5,"[-112.0740373 33.4483771, 0]","[-90.0489801 35.1495343, 0]"
Atlanta Hawks,Milwaukee Bucks,1,"[-84.3879824 33.7489954, 0]","[-87.9064736 43.0389025, 0]"
Denver Nuggets,Washington Wizards,-5,"[-104.990251 39.7392358, 0]","[-77.0368707 38.9071923, 0]"
Golden State Warriors,Charlotte Hornets,47,"[-122.4194155 37.7749295, 0]","[-80.8431267 35.2270869, 0]"
Los Angeles Clippers,Memphis Grizzlies,17,"[-118.2436849 34.0522342, 0]","[-90.0489801 35.1495343, 0]"
New Orleans Pelicans,Los Angeles Lakers,-28,"[-90.0715323 29.9510658, 0]","[-118.2436849 34.0522342, 0]"
Oklahoma City Thunder,Dallas Mavericks,-3,"[-97.5164276 35.4675602, 0]","[-96.7969879 32.7766642, 0]"
San Antonio Spurs,Sacramento Kings,-7,"[-98.4936282 29.4241219, 0]","[-121.4943996 38.5815719, 0]"
Boston Celtics,Miami Heat,5,"[-71.0588801 42.3600825, 0]","[-80.1917902 25.7616798, 0]"
Brooklyn Nets,Milwaukee Bucks,-10,"[-73.9441579 40.6781784, 0]","[-87.9064736 43.0389025, 0]"
Dallas Mavericks,Philadelphia 76ers,20,"[-96.7969879 32.7766642, 0]","[-75.1652215 39.9525839, 0]"
Indiana Pacers,Detroit Pistons,9,"[-86.1349019 40.2671941, 0]","[-83.0457538 42.331427, 0]"
Minnesota Timberwolves,Portland Trail Blazers,-10,"[-94.6858998 46.729553, 0]","[-122.6750261 45.5051064, 0]"
New York Knicks,Chicago Bulls,8,"[-74.0059728 40.7127753, 0]","[-87.6297982 41.8781136, 0]"
Phoenix Suns,Cleveland Cavaliers,9,"[-112.0740373 33.4483771, 0]","[-81.6943605 41.49932, 0]"
Toronto Raptors,Orlando Magic,12,"[-79.3831843 43.653226, 0]","[-81.3792365 28.5383355, 0]"
Utah Jazz,Charlotte Hornets,9,"[-111.0937311 39.3209801, 0]","[-80.8431267 35.2270869, 0]"
Golden State Warriors,Denver Nuggets,14,"[-122.4194155 37.7749295, 0]","[-104.990251 39.7392358, 0]"
Oklahoma City Thunder,Los Angeles Lakers,16,"[-97.5164276 35.4675602, 0]","[-118.2436849 34.0522342, 0]"
Sacramento Kings,Houston Rockets,-25,"[-121.4943996 38.5815719, 0]","[-95.3698028 29.7604267, 0]"
San Antonio Spurs,Atlanta Hawks,6,"[-98.4936282 29.4241219, 0]","[-84.3879824 33.7489954, 0]"
Atlanta Hawks,Philadelphia 76ers,8,"[-84.3879824 33.7489954, 0]","[-75.1652215 39.9525839, 0]"
Brooklyn Nets,Toronto Raptors,-10,"[-73.9441579 40.6781784, 0]","[-79.3831843 43.653226, 0]"
Dallas Mavericks,Minnesota Timberwolves,-2,"[-96.7969879 32.7766642, 0]","[-94.6858998 46.729553, 0]"
Denver Nuggets,San Antonio Spurs,28,"[-104.990251 39.7392358, 0]","[-98.4936282 29.4241219, 0]"
Detroit Pistons,Indiana Pacers,-19,"[-83.0457538 42.331427, 0]","[-86.1349019 40.2671941, 0]"
Los Angeles Clippers,Houston Rockets,-32,"[-118.2436849 34.0522342, 0]","[-95.3698028 29.7604267, 0]"
Miami Heat,Boston Celtics,-10,"[-80.1917902 25.7616798, 0]","[-71.0588801 42.3600825, 0]"
New Orleans Pelicans,Charlotte Hornets,-6,"[-90.0715323 29.9510658, 0]","[-80.8431267 35.2270869, 0]"
Orlando Magic,New York Knicks,14,"[-81.3792365 28.5383355, 0]","[-74.0059728 40.7127753, 0]"
Phoenix Suns,Utah Jazz,-21,"[-112.0740373 33.4483771, 0]","[-111.0937311 39.3209801, 0]"
Portland Trail Blazers,Memphis Grizzlies,27,"[-122.6750261 45.5051064, 0]","[-90.0489801 35.1495343, 0]"
Washington Wizards,Chicago Bulls,-1,"[-77.0368707 38.9071923, 0]","[-87.6297982 41.8781136, 0]"
Los Angeles Lakers,Golden State Warriors,-18,"[-118.2436849 34.0522342, 0]","[-122.4194155 37.7749295, 0]"
Philadelphia 76ers,Milwaukee Bucks,-6,"[-75.1652215 39.9525839, 0]","[-87.9064736 43.0389025, 0]"
Sacramento Kings,Cleveland Cavaliers,13,"[-121.4943996 38.5815719, 0]","[-81.6943605 41.49932, 0]"
Charlotte Hornets,Toronto Raptors,2,"[-80.8431267 35.2270869, 0]","[-79.3831843 43.653226, 0]"
Dallas Mavericks,Memphis Grizzlies,-10,"[-96.7969879 32.7766642, 0]","[-90.0489801 35.1495343, 0]"
Denver Nuggets,Portland Trail Blazers,9,"[-104.990251 39.7392358, 0]","[-122.6750261 45.5051064, 0]"
Golden State Warriors,Cleveland Cavaliers,6,"[-122.4194155 37.7749295, 0]","[-81.6943605 41.49932, 0]"
Houston Rockets,New York Knicks,24,"[-95.3698028 29.7604267, 0]","[-74.0059728 40.7127753, 0]"
Indiana Pacers,Boston Celtics,-20,"[-86.1349019 40.2671941, 0]","[-71.0588801 42.3600825, 0]"
Los Angeles Clippers,Los Angeles Lakers,-5,"[-118.2436849 34.0522342, 0]","[-118.2436849 34.0522342, 0]"
Minnesota Timberwolves,Miami Heat,2,"[-94.6858998 46.729553, 0]","[-80.1917902 25.7616798, 0]"
Oklahoma City Thunder,Detroit Pistons,13,"[-97.5164276 35.4675602, 0]","[-83.0457538 42.331427, 0]"
Orlando Magic,Atlanta Hawks,36,"[-81.3792365 28.5383355, 0]","[-84.3879824 33.7489954, 0]"
Phoenix Suns,New Orleans Pelicans,7,"[-112.0740373 33.4483771, 0]","[-90.0715323 29.9510658, 0]"
Utah Jazz,Sacramento Kings,21,"[-111.0937311 39.3209801, 0]","[-121.4943996 38.5815719, 0]"
Washington Wizards,San Antonio Spurs,-17,"[-77.0368707 38.9071923, 0]","[-98.4936282 29.4241219, 0]"
Chicago Bulls,Philadelphia 76ers,-20,"[-87.6297982 41.8781136, 0]","[-75.1652215 39.9525839, 0]"
Milwaukee Bucks,Brooklyn Nets,-5,"[-87.9064736 43.0389025, 0]","[-73.9441579 40.6781784, 0]"
Boston Celtics,Orlando Magic,-8,"[-71.0588801 42.3600825, 0]","[-81.3792365 28.5383355, 0]"
Cleveland Cavaliers,San Antonio Spurs,-22,"[-81.6943605 41.49932, 0]","[-98.4936282 29.4241219, 0]"
Detroit Pistons,Charlotte Hornets,-13,"[-83.0457538 42.331427, 0]","[-80.8431267 35.2270869, 0]"
Golden State Warriors,Los Angeles Clippers,27,"[-122.4194155 37.7749295, 0]","[-118.2436849 34.0522342, 0]"
Houston Rockets,Phoenix Suns,36,"[-95.3698028 29.7604267, 0]","[-112.0740373 33.4483771, 0]"
Indiana Pacers,Brooklyn Nets,-12,"[-86.1349019 40.2671941, 0]","[-73.9441579 40.6781784, 0]"
Los Angeles Lakers,Utah Jazz,4,"[-118.2436849 34.0522342, 0]","[-111.0937311 39.3209801, 0]"
Memphis Grizzlies,Dallas Mavericks,-2,"[-90.0489801 35.1495343, 0]","[-96.7969879 32.7766642, 0]"
Milwaukee Bucks,Atlanta Hawks,8,"[-87.9064736 43.0389025, 0]","[-84.3879824 33.7489954, 0]"
Minnesota Timberwolves,Oklahoma City Thunder,-6,"[-94.6858998 46.729553, 0]","[-97.5164276 35.4675602, 0]"
New York Knicks,Washington Wizards,3,"[-74.0059728 40.7127753, 0]","[-77.0368707 38.9071923, 0]"
Portland Trail Blazers,Denver Nuggets,7,"[-122.6750261 45.5051064, 0]","[-104.990251 39.7392358, 0]"
Sacramento Kings,New Orleans Pelicans,-4,"[-121.4943996 38.5815719, 0]","[-90.0715323 29.9510658, 0]"
Toronto Raptors,Miami Heat,8,"[-79.3831843 43.653226, 0]","[-80.1917902 25.7616798, 0]"
Chicago Bulls,New York Knicks,-10,"[-87.6297982 41.8781136, 0]","[-74.0059728 40.7127753, 0]"
Cleveland Cavaliers,Charlotte Hornets,-27,"[-81.6943605 41.49932, 0]","[-80.8431267 35.2270869, 0]"
Dallas Mavericks,Phoenix Suns,11,"[-96.7969879 32.7766642, 0]","[-112.0740373 33.4483771, 0]"
Detroit Pistons,Memphis Grizzlies,7,"[-83.0457538 42.331427, 0]","[-90.0489801 35.1495343, 0]"
Los Angeles Lakers,Portland Trail Blazers,-3,"[-118.2436849 34.0522342, 0]","[-122.6750261 45.5051064, 0]"
Miami Heat,Philadelphia 76ers,23,"[-80.1917902 25.7616798, 0]","[-75.1652215 39.9525839, 0]"
Minnesota Timberwolves,Toronto Raptors,-20,"[-94.6858998 46.729553, 0]","[-79.3831843 43.653226, 0]"
New Orleans Pelicans,Golden State Warriors,-9,"[-90.0715323 29.9510658, 0]","[-122.4194155 37.7749295, 0]"
Oklahoma City Thunder,Houston Rockets,1,"[-97.5164276 35.4675602, 0]","[-95.3698028 29.7604267, 0]"
Utah Jazz,Denver Nuggets,10,"[-111.0937311 39.3209801, 0]","[-104.990251 39.7392358, 0]"
Washington Wizards,Boston Celtics,-6,"[-77.0368707 38.9071923, 0]","[-71.0588801 42.3600825, 0]"
Atlanta Hawks,Indiana Pacers,-1,"[-84.3879824 33.7489954, 0]","[-86.1349019 40.2671941, 0]"
Brooklyn Nets,Miami Heat,19,"[-73.9441579 40.6781784, 0]","[-80.1917902 25.7616798, 0]"
Charlotte Hornets,Orlando Magic,-8,"[-80.8431267 35.2270869, 0]","[-81.3792365 28.5383355, 0]"
Denver Nuggets,Minnesota Timberwolves,4,"[-104.990251 39.7392358, 0]","[-94.6858998 46.729553, 0]"
Los Angeles Clippers,Utah Jazz,6,"[-118.2436849 34.0522342, 0]","[-111.0937311 39.3209801, 0]"
Memphis Grizzlies,Golden State Warriors,15,"[-90.0489801 35.1495343, 0]","[-122.4194155 37.7749295, 0]"
Milwaukee Bucks,Oklahoma City Thunder,-11,"[-87.9064736 43.0389025, 0]","[-97.5164276 35.4675602, 0]"
New York Knicks,Detroit Pistons,-26,"[-74.0059728 40.7127753, 0]","[-83.0457538 42.331427, 0]"
Philadelphia 76ers,Chicago Bulls,16,"[-75.1652215 39.9525839, 0]","[-87.6297982 41.8781136, 0]"
Portland Trail Blazers,Sacramento Kings,5,"[-122.6750261 45.5051064, 0]","[-121.4943996 38.5815719, 0]"
San Antonio Spurs,Dallas Mavericks,11,"[-98.4936282 29.4241219, 0]","[-96.7969879 32.7766642, 0]"
