home,away,home_mov,home_location,away_location
Cleveland Cavaliers,New Orleans Pelicans,-35,"[-81.6943605 41.49932, 0]","[-90.0715323 29.9510658, 0]"
Denver Nuggets,Charlotte Hornets,13,"[-104.990251 39.7392358, 0]","[-80.8431267 35.2270869, 0]"
Detroit Pistons,Utah Jazz,-5,"[-83.0457538 42.331427, 0]","[-111.0937311 39.3209801, 0]"
Milwaukee Bucks,Toronto Raptors,-7,"[-87.9064736 43.0389025, 0]","[-79.3831843 43.653226, 0]"
Philadelphia 76ers,Dallas Mavericks,6,"[-75.1652215 39.9525839, 0]","[-96.7969879 32.7766642, 0]"
Portland Trail Blazers,Houston Rockets,9,"[-122.6750261 45.5051064, 0]","[-95.3698028 29.7604267, 0]"
Sacramento Kings,Golden State Warriors,-4,"[-121.4943996 38.5815719, 0]","[-122.4194155 37.7749295, 0]"
San Antonio Spurs,Memphis Grizzlies,20,"[-98.4936282 29.4241219, 0]","[-90.0489801 35.1495343, 0]"
Atlanta Hawks,Miami Heat,24,"[-84.3879824 33.7489954, 0]","[-80.1917902 25.7616798, 0]"
Chicago Bulls,Brooklyn Nets,-17,"[-87.6297982 41.8781136, 0]","[-73.9441579 40.6781784, 0]"
Los Angeles Clippers,Orlando Magic,10,"[-118.2436849 34.0522342, 0]","[-81.3792365 28.5383355, 0]"
